record_index,message,entity_text,entity_label
58,User logged in from IP 192.168.1.124,IP 192.168.1.124,ORG
59,Connection to www.suspicious-site-4.com on port 8080,8080,CARDINAL
63,Connection to www.suspicious-site-2.com on port 8080,8080,CARDINAL
65,Connection to www.suspicious-site-4.com on port 8080,8080,CARDINAL
66,Connection to www.suspicious-site-2.com on port 8080,8080,CARDINAL
69,Connection to www.suspicious-site-3.com on port 8080,8080,CARDINAL
70,User logged in from IP 192.168.1.123,IP 192.168.1.123,ORG
71,Connection to www.suspicious-site-2.com on port 8080,8080,CARDINAL
72,Connection to www.suspicious-site-3.com on port 8080,8080,CARDINAL
73,Email sent from Jane Doe to John Doe about Project X and the London office.,Email,PERSON
73,Email sent from Jane Doe to John Doe about Project X and the London office.,Jane Doe,PERSON
73,Email sent from Jane Doe to John Doe about Project X and the London office.,John Doe,PERSON
73,Email sent from Jane Doe to John Doe about Project X and the London office.,Project X,ORG
73,Email sent from Jane Doe to John Doe about Project X and the London office.,London,GPE
74,User logged in from IP 192.168.1.108,IP 192.168.1.108,ORG
78,User logged in from IP 192.168.1.79,IP,ORG
78,User logged in from IP 192.168.1.79,192.168.1.79,CARDINAL
79,Connection to www.suspicious-site-3.com on port 8080,8080,CARDINAL
82,Connection to www.suspicious-site-2.com on port 8080,8080,CARDINAL
83,User logged in from IP 192.168.1.78,IP,ORG
83,User logged in from IP 192.168.1.78,192.168.1.78,CARDINAL
84,User logged in from IP 192.168.1.83,IP,ORG
84,User logged in from IP 192.168.1.83,192.168.1.83,CARDINAL
85,Connection to www.suspicious-site-5.com on port 8080,8080,CARDINAL
86,Email sent from Jane Doe to John Doe about Project X and the London office.,Email,PERSON
86,Email sent from Jane Doe to John Doe about Project X and the London office.,Jane Doe,PERSON
86,Email sent from Jane Doe to John Doe about Project X and the London office.,John Doe,PERSON
86,Email sent from Jane Doe to John Doe about Project X and the London office.,Project X,ORG
86,Email sent from Jane Doe to John Doe about Project X and the London office.,London,GPE
87,Connection to www.suspicious-site-4.com on port 8080,8080,CARDINAL
88,Email sent from Jane Doe to John Doe about Project X and the London office.,Email,PERSON
88,Email sent from Jane Doe to John Doe about Project X and the London office.,Jane Doe,PERSON
88,Email sent from Jane Doe to John Doe about Project X and the London office.,John Doe,PERSON
88,Email sent from Jane Doe to John Doe about Project X and the London office.,Project X,ORG
88,Email sent from Jane Doe to John Doe about Project X and the London office.,London,GPE
93,Email sent from Jane Doe to John Doe about Project X and the London office.,Email,PERSON
93,Email sent from Jane Doe to John Doe about Project X and the London office.,Jane Doe,PERSON
93,Email sent from Jane Doe to John Doe about Project X and the London office.,John Doe,PERSON
93,Email sent from Jane Doe to John Doe about Project X and the London office.,Project X,ORG
93,Email sent from Jane Doe to John Doe about Project X and the London office.,London,GPE
94,Connection to www.suspicious-site-2.com on port 8080,8080,CARDINAL
95,Email sent from Jane Doe to John Doe about Project X and the London office.,Email,PERSON
95,Email sent from Jane Doe to John Doe about Project X and the London office.,Jane Doe,PERSON
95,Email sent from Jane Doe to John Doe about Project X and the London office.,John Doe,PERSON
95,Email sent from Jane Doe to John Doe about Project X and the London office.,Project X,ORG
95,Email sent from Jane Doe to John Doe about Project X and the London office.,London,GPE
96,Email sent from Jane Doe to John Doe about Project X and the London office.,Email,PERSON
96,Email sent from Jane Doe to John Doe about Project X and the London office.,Jane Doe,PERSON
96,Email sent from Jane Doe to John Doe about Project X and the London office.,John Doe,PERSON
96,Email sent from Jane Doe to John Doe about Project X and the London office.,Project X,ORG
96,Email sent from Jane Doe to John Doe about Project X and the London office.,London,GPE
98,Connection to www.suspicious-site-3.com on port 8080,8080,CARDINAL
99,User logged in from IP 192.168.1.191,IP 192.168.1.191,ORG
